id,No_of_files,size_conv,CSV,Other,Upvotes,Medals,Month_since,Day,Usability,Date,,
1,1,382000,Y,N,718,Gold,5,Mon,5.9,5/9/2016,,
2,3,68000,Y,N,880,Gold,5,Fri,8.5,5/20/2016,,
3,1,375000000,Y,N,652,Gold,6,Fri,7.1,6/17/2016,,
4,1,5000000,Y,N,76,Silver,7,Fri,7.1,7/29/2016,,
5,1,3000000,Y,N,341,Gold,8,Thu,5.9,8/18/2016,,
6,1,141000,Y,N,165,Silver,8,Thu,7.1,8/18/2016,,
7,59,2000000,Y,Y,227,Gold,8,Fri,7.6,8/19/2016,,
8,1,20000,Y,N,252,Gold,8,Fri,7.6,8/19/2016,,
9,1,62000,Y,N,51,Bronze,8,Mon,8.2,8/22/2016,,
10,1,798000,Y,N,1929,Gold,8,Thu,7.1,8/25/2016,,
11,1,415000,Y,N,765,Gold,8,Fri,7.1,8/26/2016,,
12,1,15000,Y,N,2318,Gold,8,Mon,8.8,8/29/2016,,
13,1,7000000,Y,N,14,No Medal,8,Mon,5.9,8/29/2016,,
14,1,149000,Y,N,50,Bronze,9,Tue,7.1,9/6/2016,,
15,1,577000,Y,N,428,Gold,9,Sat,10,9/10/2016,,
16,1,3000000,N,Y,31,Bronze,9,Tue,7.5,9/13/2016,,
17,1,174000,Y,N,19,No Medal,9,Wed,5.9,9/14/2016,,
18,1,706000,Y,N,66,Bronze,9,Wed,5.9,9/14/2016,,
19,1,10000000,Y,N,68,Bronze,9,Thu,7.1,9/15/2016,,
20,1,8000000,Y,N,135,Silver,9,Mon,5.9,9/19/2016,,
21,1,12000,Y,N,163,Silver,9,Fri,8.5,9/23/2016,,
22,1,37000,Y,N,57,Bronze,9,Sun,6.5,9/25/2016,,
23,1,968000,Y,N,144,Silver,9,Wed,5.9,9/28/2016,,
24,1,2000000,Y,N,75,Bronze,10,Mon,5.9,10/3/2016,,
25,1,668000,Y,N,206,Silver,10,Thu,5.9,10/6/2016,,
26,2,147000000,Y,Y,143,Silver,10,Wed,5.9,10/12/2016,,
27,1,35000,Y,N,12,No Medal,10,Thu,6.5,10/20/2016,,
28,1,12000,Y,N,67,Bronze,10,Sun,5.3,10/23/2016,,
29,1,34000000,N,Y,4120,Gold,10,Mon,7.1,10/24/2016,,
30,1,2000,Y,N,52,Bronze,10,Mon,5.9,10/24/2016,,
31,1,9000,Y,N,53,No Medal,10,Mon,7.1,10/24/2016,,
